Asahi Super Dry,5,Japan,Pale lager,16,crisp | barley | dry
Blanc1664,5,France,Golden pale lager,20,crisp | fruity | citrus | coriander | sweet | aroma
Breda Royal Beer / Lager,5,Netherlands,Pale Lager,,spicy | malty | watery | barley
Budweiser,5,US,Pale Lager,7,medium body | crisp
Carlsberg,5,Denmark,Lager,8,medium body | corn
Cass,4.5,Korea,Larger,,fresh | light body
Classe Royale Premium Hefeweissbier,5,Germany,Weissbier Hefeweizen,,wheat | sweet | barley | caramel | fruity
Coors Light,4.2,US,Pale Lager,10,light body | straw | corn | apple | watery | crisp
Corona Extra,4.5,Mexico,Lager,19,citrus | light body |  fruity | watery
Corona Light,3.9,Mexico,Lager,18,light body | watery | grain | malty
Desperados Original,5.9,France,Pale Lager,13,light body | spicy | sweet
Faxe Premium,5,Denmark,Premium Lager,,caramel | sweet | malty | mint | grain | hay
Faxe Stout,7.7,Denmark,Stout,,caramel | sweet | licorice
Goose IPA,5.9,UK,IPA,55,crisp | hop | citrus | malty | full body | aroma
Guinness Draught,4.2,Ireland,Stout,45,coffee | malty | sweet | smooth
Harbin Lager,5.5,China,Lager,,bready | light body | crisp | dry | grassy | fruity
Harboe Bear Beer Premium Lager,5,Germany,Pale Lager,,hay | wheat | grassy | malty |fruity
Heineken,5,Netherlands ,Pale Lager,23,hop | watery | smooth
Hite,4.5,Korea,Lager,,corn | watery 
Hoegaarden,4.9,Belgian,Ale,15,coriander | orange peel | sweet
Jeju Wit Ale,5.3,Korea,Wheat Ale,16,fruity | citrus | sweet | banana | aroma
Kaiserdom Kellerbier,4.7,Germany,Weizen,,orange peel | sweet | apple | caramel | bready | honey
Kirin Ichibang,5,Japan,Pilsner,19,crisp | body
Kozel dark,3.8,Czech Republic,Dunkel,,sweet | smokey | honey | smooth
Leffe Blonde,6.6,Belgian,Ale,20,caramel | coffee | fruity | banana | malty | wheat | corn | medium body | aroma
Leffe Brune,6.5,Belgian,Ale,20,sweet | smokey | chocolate | caramel | medium body
MangoRingo,2.5,korea,etc,,mango | light body
Max,4.5,Korea,Malt Beer,,smooth | crisp | sweet | watery | apple | fruity | bready
Miller lite,4.2,US,Lager american light,10,sweet | bready  | little hop | crisp | light body | grain | aroma
Paulaner Hefe-Weizen,5.5,Germany,Lager,12,banana | wheat | malty
Peroni Original,4.7,Italy,Pale Lager,,sitrus | grassy | straw | corn | wheat | sweet | malty | light body
Peroni Red,4.7,Italy,Lager,18,wheat | smokey | caramel | sweet | bready | aroma
Pilsner Urquell,4.4,Czech Republic,Pilsner,40,bready | hop | caramel | sweet
Royal dutch ,5,Netherlands,Pale Lager,,bready | metalic
Royal Dutch Post Horn Hefeweizen,5.1,Netherlands,Weissbier Hefeweizen,,wheat | barley | spicy | sweet | banana | fruity | watery
San Miguel Dark Lager,5,Philippines,Dark Lager,,malty | body | orange peel | sweet | honey | smooth
San Miguel Pale Pilsen,5,Philippines,Pilsner,19,bready | corn | sweet | grassy
Sapporo Premium Beer,4.9,Japan,Pale Lager,24,hop | crisp | aroma
Schofferhofer Grapefruit,2.5,Germany,Weizen,,fruit | bready | wheat | grassy | fruity | aroma
Stella Artois,5,Belgian,Pilsner,30,full body | crisp | aroma 
Suntory The Premium Malts,5.5,Japan,Pilsner,,furity | corn | grain | apple | malty | aroma
Tiger,5,Singapore,Pale Lager,,crisp | body 
Tsingtao,4.8,China,Pale Lager,18,malty | hop 
Wabar Dunkel,4.9,Korea,Dark Lager,9,sweet | grain | smokey | chocolate | wood
Weidmann Weissbier Hefeweiss,5.3,Germany,Weissbier Hefeweizen,,sweet | body | spicy | citrus | banana
